Name,Price,Image,Link
FLOWY TOP,"Rs.7,450.00", ,https://lamaretail.com/collections/woman-ss-24-all/products/flowy-top-was24tp078-green
CROPPED WIDE PANTS,"Rs.7,450.00",https://lamaretail.com/cdn/shop/files/WAS24BT020-IVORY-CROPPED-WIDE-PANTS_6.jpg?v=1715842686&width=1080,https://lamaretail.com/collections/woman-ss-24-all/products/cropped-wide-pants-was24bt020-ivory
TEE WITH SLEEVE PRINT,"Rs.7,450.00",https://lamaretail.com/cdn/shop/files/WAS24TP046-BLACK-TEE-WITH-SLEEVE-PRINT_15.jpg?v=1718022061&width=1080,https://lamaretail.com/collections/woman-ss-24-all/products/tee-with-sleeve-print-was24tp046-black
ASYMMETRICAL STRIPED TEE,"Rs.7,450.00",https://lamaretail.com/cdn/shop/files/WAS24TP011-WHITE-ASYMMETRICAL-STRIPED-TEE_8.jpg?v=1717066390&width=1080,https://lamaretail.com/collections/woman-ss-24-all/products/asymmetrical-striped-tee-was24tp011-white
OVERSIZED T-SHIRT WITH PRINT,"Rs.7,450.00",https://lamaretail.com/cdn/shop/files/WAS24TP043-BEIGE-OVERSIZED-T-SHIRT-WITH-PRINT_1.jpg?v=1718021204&width=1080,https://lamaretail.com/collections/woman-ss-24-all/products/oversized-t-shirt-with-print-was24tp043-beige
WIDE LONG JEANS,"Rs.7,450.00",https://cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24BT022-LIGHT-BLUE-WIDE-LONG-JEANS_3.jpg?v=1708418735&width=1080,https://lamaretail.com/collections/woman-ss-24-all/products/wide-long-jeans-was24bt022-light-blue
EVERYDAY TANK TOP,"Rs.7,450.00",https://cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24TP040-WHITE-EVERYDAY-TANK-TOP_2.jpg?v=1708425349&width=1080,https://lamaretail.com/collections/woman-ss-24-all/products/everyday-tank-top-was24tp040-white
FLOWY TOP,"Rs.7,450.00",https://cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24TP078-BLACK-FLOWY-TOP_2.jpg?v=1717394133&width=1080,https://lamaretail.com/collections/woman-ss-24-all/products/flowy-top-was24tp078-black
RELAXED STRIPED SHIRT,"Rs.7,450.00",https://cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24TP177-BLUE-RELAXED-STRIPED-SHIRT_3.jpg?v=1716977439&width=1080,https://lamaretail.com/collections/woman-ss-24-all/products/relaxed-striped-shirt-was24tp177-blue
HIGH WAIST STRAIGHT JEANS,"Rs.7,450.00",https://cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24BT021-MID-BLUE-HIGH-WAIST-STRAIGHT-JEANS_3.jpg?v=1719207802&width=1080,https://lamaretail.com/collections/woman-ss-24-all/products/high-waist-straight-jeans-was24bt021-mid-blue
BODYCON FORMAL DRESS,"Rs.7,450.00",https://cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24DR019-BLACK-BODYCON-FORMAL-DRESS_14.jpg?v=1715839484&width=1080,https://lamaretail.com/collections/woman-ss-24-all/products/bodycon-formal-dress-was24dr019-black
AZTEC EMBROIDERED LINEN SHIRT,"Rs.7,450.00",https://cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24TP104-OFF-WHITE-AZTEC-EMBROIDERED-LINEN-SHIRT_4.jpg?v=1717648471&width=1080,https://lamaretail.com/collections/woman-ss-24-all/products/aztec-embroidered-linen-shirt-was24tp104-off-white
ANKLE CROPPED SLIM JEANS,"Rs.7,450.00",https://cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24BT056-BLACK-ANKLE-CROPPED-SLIM-JEANS_1.jpg?v=1715775337&width=1080,https://lamaretail.com/collections/woman-ss-24-all/products/ankle-cropped-slim-jeans-was24bt056-black
FLOWY TOP,"Rs.7,450.00", ,https://lamaretail.com/collections/woman-ss-24-all/products/flowy-top-was24tp078-pink
SCHIFFLI FERN SHIRT,"Rs.7,450.00", ,https://lamaretail.com/collections/woman-ss-24-all/products/schiffli-fern-shirt-was24tp106-white
MAMA PLATFORMS WITH STUD,"Rs.7,450.00", ,https://lamaretail.com/collections/woman-ss-24-all/products/mama-platforms-with-stud-wfs24hl007-tan
SCHIFFLI FERN CULOTTES,"Rs.7,450.00", ,https://lamaretail.com/collections/woman-ss-24-all/products/schiffli-fern-culottes-was24bt106-white
